"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"82",0.5,1,0.25,10,0.01,0.75,2,0.361528527945556,1.14611927237787,0.105199565588624,10,0.0160054297489371,0.662849998293026,2.07091524260231,400
"83",0.5,1,0.25,10,0.01,0.75,2,0.642566015733086,0.893562748959671,0.318834764294985,10,0.00794077313662517,0.746057670734284,2.08882685739108,400
"84",0.5,1,0.25,10,0.01,0.75,2,0.365743963914299,1.2427572019971,0.00120897943093248,10,0.0135243005967605,0.68330740812157,1.95517563212988,400
"85",0.5,1,0.25,10,0.01,0.75,2,0.435555150004223,1.41536240303663,0.0202362699330076,10,0.00824889275833602,0.708541844314157,2.01834858079422,400
"86",0.5,1,0.25,10,0.01,0.75,2,0.31088727025182,1.41386531303525,0.00308192043827784,10,0.0104701511276813,0.706628165721426,1.99948157065464,400
"87",0.5,1,0.25,10,0.01,0.75,2,0.409711301791831,1.35984671119762,0.00069001357359981,10,0.00809502197335826,0.826879465632794,2.06002191565775,400
"88",0.5,1,0.25,10,0.01,0.75,2,0.417450589964321,1.27286619037808,7.69967938003402e-06,10,0.00898403209801128,0.751376174678786,1.94814808765945,400
"89",0.5,1,0.25,10,0.01,0.75,2,0.644422666826926,0.777379596602193,0.369733757163524,10,0.00764148553078299,0.814576263164028,1.99932065335828,400
"90",0.5,1,0.25,10,0.01,0.75,2,0.397551300510728,1.07726002525418,0.135066879339704,10,0.0126104754101467,0.712692922415667,1.99078809994638,400
"91",0.5,1,0.25,10,0.01,0.75,2,0.660404607958061,1.11401889973393,0.304111424660235,10,0.00520030499656506,0.83322100657849,1.95644804329813,400
"92",0.5,1,0.25,10,0.01,0.75,2,0.283691842665958,1.28495205675273,4.72601958600162e-06,10,0.00920614182666697,0.779169497844447,1.96928400077929,400
"93",0.5,1,0.25,10,0.01,0.75,2,0.603710673512382,0.963301037009498,0.362020737666892,10,0.0131132305123771,0.659311343682196,2.08028923817582,400
"94",0.5,1,0.25,10,0.01,0.75,2,0.281008476235622,1.36217418985044,0.0441040286738475,10,0.00958320421061355,0.78158562973856,2.07503502128271,400
"95",0.5,1,0.25,10,0.01,0.75,2,0.650667733977915,0.903894464526656,0.376847592119801,10,0.00926211705365002,0.701265673439225,1.90159144826254,400
